tag;beginn;ende;dj_name_1;dj_url_1;dj_name_2;dj_url_2;dj_name_3;dj_url_3
27.12.16;12:00;13:00;ASK ME ANYTHING (Talk) tba.;;;;;
27.12.16;14:00;16:00;Gregoa;https://hearthis.at/gregoa;Joghurt Bambaata;https://www.mixcloud.com/bambaata/;;
27.12.16;16:00;18:00;Progolog;https://www.progolog.de/;;;;
27.12.16;18:00;20:00;Evelyn;;;;;
27.12.16;20:00;21:00;Performance by ë;http://www.raum-e.com/;;;;
27.12.16;21:00;00:00;Mike Lait;https://soundcloud.com/mikelait/seebuhnen-spacebar-high-noon-02072016-fusion-festival;;;;
27.12.16;00:00;03:00;Andorra Abama;;Chuchu Sønnich;;Kalb Fiction;https://soundcloud.com/kalbfiction/live-32c3-hamburg-27122015
27.12.16;03:00;06:00;DJ Miller (Golden Children);https://soundcloud.com/djmiller;;;;
28.12.16;12:00;13:00;ASK ME ANYTHING (Talk) tba.;;;;;
28.12.16;14:00;16:00;DJ Rita;;;;;
28.12.16;16:00;17:00;Petroschi;https://beta.mixcloud.com/Petroschi/;;;;
28.12.16;17:00;18:00;MoGreens;http://mogreens.de/;;;;
28.12.16;18:00;19:00;LIVE: Lord Spreadpoint;https://www.youtube.com/watch?v=eqFxUXmv9g0;;;;
28.12.16;19:00;22:00;Das Kraftfuttermischwerk ;http://www.kraftfuttermischwerk.de/blogg/;;;;
28.12.16;22:00;23:00;LIVE: CYRUS (Days of Delay);http://www.daysofdelay.com/;;;;
28.12.16;23:00;02:00;Saetchmo;http://www.saetche.net/blog/;;;;
28.12.16;02:00;08:00;Jeanette;https://soundcloud.com/jeanette-tr-sbien;Lina;https://soundcloud.com/wolkigmusic/lina-wolkigmusic-201116;Morelle;
 ;;;;;;;;
 ;;;;;;;;
 ;;;;;;;;
 ;;;;;;;;
 ;;;;;;;;
 ;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;; ;;;;;;
